Page,Edits,Editors,Views,Date
Lionel Messi,129,37,1409457,March 2023
No Hard Feelings (2023 film),32,15,1408266,August 2023
Women's Premier League (cricket),177,53,1408215,March 2023
RRR (film),0,0,1407986,March 2023
XXXTentacion,8,8,1407591,June 2023
Gordon Lightfoot,252,120,1407537,May 2023
United States,125,36,1406476,June 2023
Index,8,4,1405437,January 2023
Ansel Adams,4,4,1404197,August 2023
Jim Caviezel,90,62,1398703,July 2023
Chris Rock,27,19,1396588,March 2023
FIFA Women's World Cup,29,26,1395170,July 2023
Wikipedia,37,21,1394836,June 2023
Cristiano Ronaldo,64,24,1393201,September 2023
United States,157,34,1392906,February 2023
Brendan Fraser,94,45,1392460,January 2023
Priyanka Chopra,27,15,1387814,May 2023
Jonathan Majors,130,83,1387719,March 2023
Austin Butler,127,55,1387497,January 2023
Wrexham A.F.C.,169,102,1382104,April 2023
Google Translate,2,2,1381841,August 2023
John Bennett Perry,78,45,1380727,October 2023
Lewis Strauss,69,29,1380586,August 2023
United States,258,38,1379479,August 2023
Tucker Carlson,164,79,1379340,April 2023
Ana de Armas,44,31,1378678,April 2023
List of highest-grossing Indian films,81,18,1378462,October 2023
Ansel Adams,7,6,1378116,March 2023
Taylor Swift,151,59,1377542,April 2023
David McCallum,164,99,1375902,September 2023
Zlatan Ibrahimović,133,51,1373225,June 2023
The Pope's Exorcist,51,21,1371398,May 2023
Altina Schinasi,108,78,1371009,August 2023
George IV,13,12,1370866,May 2023
Twitter,48,39,1370376,September 2023
Donald Trump,161,67,1368756,April 2023
India at the 2022 Asian Games,1939,168,1368699,September 2023
Nayanthara,80,33,1367960,September 2023
XXXX (beer),9,8,1363886,June 2023
James Cameron,59,46,1362223,June 2023
John Wick: Chapter 4,147,69,1361755,May 2023
Ryan Garcia,46,36,1358008,April 2023
Andrew Tate,39,22,1356486,March 2023
Starfield (video game),272,96,1356448,September 2023
List of American films of 2023,209,54,1356390,June 2023
Richard Sackler,40,26,1355804,August 2023
Wikipedia,47,27,1351349,February 2023
Spider-Man: Across the Spider-Verse,564,239,1351182,July 2023
Google Translate,0,0,1348683,September 2023
Brownie (folklore),4,4,1348568,July 2023
Moon Bin,1,1,1347846,April 2023
Martin Luther King Jr.,39,22,1347228,January 2023
Avatar: The Way of Water,139,37,1346854,March 2023
Nowruz,59,31,1346273,March 2023
Ansel Adams,14,11,1346034,April 2023
Cristiano Ronaldo,54,21,1344878,July 2023
Bobby Charlton,149,93,1344372,October 2023
History of Palestine,13,10,1343466,October 2023
Napoleon,97,29,1342734,July 2023
2023 in film,445,148,1341850,August 2023
Novak Djokovic,139,41,1340086,January 2023
India,34,15,1338348,March 2023
Iron Dome,23,16,1337105,October 2023
Air (2023 film),117,44,1336610,May 2023
Richard Belzer,221,90,1336092,February 2023
Cristiano Ronaldo,35,13,1335951,May 2023
India,42,15,1331936,August 2023
The Night Agent,106,50,1331829,April 2023
United States,214,41,1330857,September 2023
Brooke Shields,37,18,1330402,April 2023
Andrew Tate,36,23,1328164,April 2023
Mackenyu,53,29,1327212,September 2023
Inter Miami CF,136,84,1326415,July 2023
"William, Prince of Wales",55,21,1325592,May 2023
Candy Montgomery,16,15,1325013,May 2023
George VI,31,18,1324110,May 2023
Elon Musk,80,27,1321626,May 2023
Ant-Man and the Wasp: Quantumania,216,71,1319993,March 2023
Knives Out,34,24,1318147,January 2023
Succession (TV series),56,35,1316255,June 2023
Tommy Lee,9,7,1315439,February 2023
Paul O'Grady,137,66,1314612,March 2023
Ben Shelton (tennis),0,0,1312970,September 2023
Ansel Adams,4,4,1311820,May 2023
No Hard Feelings (2023 film),217,106,1311381,June 2023
Gwyneth Paltrow,71,45,1310076,March 2023
Whitney Houston,59,17,1307850,April 2023
Ansel Adams,3,3,1307290,June 2023
Rocky Aur Rani Kii Prem Kahaani,222,34,1307232,August 2023
